"member_casual","day_of_week","mean_ride"
"casual","Sun",26.5734729378865
"casual","Mon",22.5039041836487
"casual","Tue",19.916822479472
"casual","Wed",19.1598541777579
"casual","Thu",20.3011884325341
"casual","Fri",22.8020091364191
"casual","Sat",25.770688873032
"member","Sun",13.4762484446054
"member","Mon",11.6971591620545
"member","Tue",11.755424016904
"member","Wed",11.6375462125623
"member","Thu",11.7684054093955
"member","Fri",12.1344310720899
"member","Sat",13.2906415032524
